from,to,type,evidence_tag,note
BC-PRQ-03001,BC-SKL-03001,supporting,inferred,Prerequisite for Decompose a composite function into outer and inner functions.
BC-PRQ-03001,BC-SKL-03002,supporting,inferred,Prerequisite for Differentiate a two layer composite function with the chain rule.
BC-PRQ-03001,BC-SKL-03003,supporting,inferred,Prerequisite for Differentiate a composite with three or more layers.
BC-PRQ-03001,BC-SKL-03004,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from a table of values.
BC-PRQ-03005,BC-SKL-03004,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from a table of values.
BC-PRQ-03001,BC-SKL-03005,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from graphs.
BC-PRQ-03005,BC-SKL-03005,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from graphs.
BC-PRQ-03001,BC-SKL-03006,supporting,inferred,Prerequisite for Combine the chain rule with the product or quotient rule.
BC-PRQ-03006,BC-SKL-03006,supporting,inferred,Prerequisite for Combine the chain rule with the product or quotient rule.
BC-PRQ-03005,BC-SKL-03007,supporting,inferred,Prerequisite for Differentiate a term in y with respect to x producing a dy/dx factor.
BC-PRQ-03005,BC-SKL-03008,supporting,inferred,Prerequisite for Apply the product rule to a term containing both x and y.
BC-PRQ-03005,BC-SKL-03009,supporting,inferred,Prerequisite for Differentiate both sides of an implicit equation term by term.
BC-PRQ-03002,BC-SKL-03010,supporting,inferred,Prerequisite for Solve the differentiated equation for dy/dx.
BC-PRQ-03006,BC-SKL-03011,supporting,inferred,Prerequisite for Evaluate dy/dx at a stated point on the curve.
BC-PRQ-03007,BC-SKL-03012,supporting,inferred,Prerequisite for Locate a point where the tangent to an implicit curve is horizontal.
BC-PRQ-03007,BC-SKL-03013,supporting,inferred,Prerequisite for Locate a point where the tangent to an implicit curve is vertical.
BC-PRQ-03002,BC-SKL-03014,supporting,inferred,Prerequisite for Verify a supplied expression for dy/dx by implicit differentiation.
BC-PRQ-03006,BC-SKL-03014,supporting,inferred,Prerequisite for Verify a supplied expression for dy/dx by implicit differentiation.
BC-PRQ-03003,BC-SKL-03015,supporting,inferred,Prerequisite for State the inverse function derivative rule with its hypotheses.
BC-PRQ-03003,BC-SKL-03016,supporting,inferred,Prerequisite for Locate the matching input on the original function.
BC-PRQ-03003,BC-SKL-03017,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a formula.
BC-PRQ-03006,BC-SKL-03017,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a formula.
BC-PRQ-03003,BC-SKL-03018,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a table.
BC-PRQ-03003,BC-SKL-03019,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a graph.
BC-PRQ-03003,BC-SKL-03020,supporting,inferred,Prerequisite for Derive the inverse derivative rule from the chain rule.
BC-PRQ-03004,BC-SKL-03021,supporting,inferred,"Prerequisite for State the derivatives of the inverse sine, cosine, and tangent functions."
BC-PRQ-03004,BC-SKL-03022,supporting,inferred,Prerequisite for Differentiate an inverse trigonometric function of an inner expression.
BC-PRQ-03004,BC-SKL-03023,supporting,inferred,Prerequisite for Derive an inverse trigonometric derivative by implicit differentiation.
BC-PRQ-03004,BC-SKL-03024,supporting,inferred,Prerequisite for Evaluate an inverse trigonometric derivative at a point.
