from,to,type,evidence_tag,note
BC-SKL-10001,BC-SKL-10003,hard_prerequisite,inferred,The convergence of a series is the limit of the sequence of partial sums.
BC-SKL-10002,BC-SKL-10003,hard_prerequisite,inferred,The limit taken is of the partial sum that was computed.
BC-SKL-10002,BC-SKL-10004,hard_prerequisite,inferred,The telescoping argument is carried out inside the partial sum.
BC-SKL-10003,BC-SKL-10004,hard_prerequisite,inferred,The value of the telescoping series is the limit of its partial sums.
BC-SKL-10001,BC-SKL-10005,hard_prerequisite,inferred,One of the two questions is the convergence of the sequence of terms.
BC-SKL-10003,BC-SKL-10005,hard_prerequisite,inferred,The other question is the convergence of the partial sums.
BC-SKL-10002,BC-SKL-10006,supporting,inferred,Dividing consecutive terms follows from having the terms written out.
BC-SKL-10006,BC-SKL-10007,hard_prerequisite,inferred,The condition is applied to the ratio that was identified.
BC-SKL-10006,BC-SKL-10008,hard_prerequisite,inferred,The sum formula uses the first term and the ratio.
BC-SKL-10007,BC-SKL-10008,hard_prerequisite,inferred,The sum exists only when the convergence condition holds.
BC-SKL-10006,BC-SKL-10009,hard_prerequisite,inferred,"The first term is read as the series is written, whatever the index start."
BC-SKL-10008,BC-SKL-10009,hard_prerequisite,inferred,The re-indexed series is summed by the same formula.
BC-SKL-10007,BC-SKL-10010,hard_prerequisite,inferred,The inequality on the ratio is the convergence condition in the variable.
BC-SKL-10008,BC-SKL-10010,hard_prerequisite,inferred,The closed form is the sum formula with a ratio containing the variable.
BC-SKL-10001,BC-SKL-10011,hard_prerequisite,inferred,The limit of the general term is a sequence limit.
BC-SKL-10011,BC-SKL-10012,hard_prerequisite,inferred,The conclusion rests on the value of that limit.
BC-SKL-10011,BC-SKL-10013,hard_prerequisite,inferred,The inconclusive case is the case where that limit is zero.
BC-SKL-10012,BC-SKL-10013,supporting,inferred,The inconclusive case is stated against the divergence case.
BC-SKL-10014,BC-SKL-10015,hard_prerequisite,inferred,The function whose integral is written is the one the conditions were checked on.
BC-SKL-10015,BC-SKL-10016,hard_prerequisite,inferred,The improper integral must be written before it is evaluated.
BC-SKL-10014,BC-SKL-10017,hard_prerequisite,inferred,The conclusion is licensed only with the conditions verified.
BC-SKL-10016,BC-SKL-10017,hard_prerequisite,inferred,The conclusion rests on whether the integral converged.
BC-SKL-10018,BC-SKL-10019,hard_prerequisite,inferred,The criterion is applied to the p the classification identified.
BC-SKL-10018,BC-SKL-10020,hard_prerequisite,inferred,Recalling the two behaviours presupposes recognising the two series.
BC-SKL-10007,BC-SKL-10021,hard_prerequisite,inferred,A constant ratio is the cue that selects the geometric test.
BC-SKL-10019,BC-SKL-10021,hard_prerequisite,inferred,A rational term is the cue that selects comparison to a p-series.
BC-SKL-10012,BC-SKL-10021,supporting,inferred,A nonzero term limit is the cue that selects the nth term test.
BC-SKL-10014,BC-SKL-10021,supporting,inferred,A positive decreasing continuous function is the cue that selects the integral test.
