from,to,type,evidence_tag,note
BC-PRQ-01001,BC-SKL-01024,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by factoring and dividing out a common factor.
BC-PRQ-01001,BC-SKL-01028,supporting,inferred,Prerequisite for Recognise an indeterminate form as a signal that rewriting is needed.
BC-PRQ-01001,BC-SKL-01029,supporting,inferred,Prerequisite for Classify a limit expression by its form under substitution.
BC-PRQ-01001,BC-SKL-01030,supporting,inferred,Prerequisite for Select an appropriate procedure for a given limit expression.
BC-PRQ-01001,BC-SKL-01039,supporting,inferred,Prerequisite for Classify a removable discontinuity.
BC-PRQ-01001,BC-SKL-01050,supporting,inferred,Prerequisite for Redefine a function value to remove a removable discontinuity.
BC-PRQ-01001,BC-SKL-01056,supporting,inferred,Prerequisite for Identify vertical asymptotes from an expression after simplification.
BC-PRQ-01001,BC-SKL-01057,supporting,inferred,Prerequisite for Distinguish a vertical asymptote from a removable discontinuity at the same input.
BC-PRQ-01002,BC-SKL-01025,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by multiplying by a conjugate.
BC-PRQ-01003,BC-SKL-01011,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the one sided limits differ.
BC-PRQ-01003,BC-SKL-01023,supporting,inferred,Prerequisite for Determine a two sided limit by matching one sided limits of a piecewise rule.
BC-PRQ-01003,BC-SKL-01038,supporting,inferred,Prerequisite for Sketch a graph consistent with stated limit and value conditions.
BC-PRQ-01003,BC-SKL-01040,supporting,inferred,Prerequisite for Classify a jump discontinuity.
BC-PRQ-01003,BC-SKL-01042,supporting,inferred,Prerequisite for Identify the discontinuities of a piecewise defined function from its rule.
BC-PRQ-01003,BC-SKL-01044,supporting,inferred,Prerequisite for Test continuity at a point by checking the three conditions.
BC-PRQ-01003,BC-SKL-01048,supporting,inferred,Prerequisite for Determine continuity of a piecewise function on an interval.
BC-PRQ-01003,BC-SKL-01051,supporting,inferred,Prerequisite for Solve for a parameter making a piecewise function continuous at a boundary.
BC-PRQ-01003,BC-SKL-01052,supporting,inferred,Prerequisite for Solve for two parameters using continuity conditions at two boundaries.
BC-PRQ-01003,BC-SKL-01053,supporting,inferred,Prerequisite for Decide whether a discontinuity can be removed.
BC-PRQ-01004,BC-SKL-01058,supporting,inferred,Prerequisite for Evaluate the limit of a rational function at infinity by comparing degrees.
BC-PRQ-01004,BC-SKL-01059,supporting,inferred,Prerequisite for Identify horizontal asymptotes from limits at infinity.
BC-PRQ-01004,BC-SKL-01061,supporting,inferred,Prerequisite for Evaluate limits at infinity for expressions containing radicals.
BC-PRQ-01004,BC-SKL-01062,supporting,inferred,Prerequisite for Compare relative magnitudes of growth using limits.
BC-PRQ-01004,BC-SKL-01063,supporting,inferred,Prerequisite for Distinguish the limit at positive infinity from the limit at negative infinity.
BC-PRQ-01005,BC-SKL-01013,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the function oscillates.
BC-PRQ-01005,BC-SKL-01027,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by rewriting with trigonometric identities.
BC-PRQ-01005,BC-SKL-01033,supporting,inferred,Prerequisite for Verify the bounding inequality on an interval around the point.
BC-PRQ-01005,BC-SKL-01035,supporting,inferred,Prerequisite for Apply the squeeze theorem to a bounded oscillating factor.
BC-PRQ-01005,BC-SKL-02032,supporting,inferred,Prerequisite for Differentiate sine and cosine.
BC-PRQ-01006,BC-SKL-01011,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the one sided limits differ.
BC-PRQ-01006,BC-SKL-01040,supporting,inferred,Prerequisite for Classify a jump discontinuity.
BC-PRQ-01007,BC-SKL-01026,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by simplifying a complex fraction.
BC-PRQ-01008,BC-SKL-01021,supporting,inferred,Prerequisite for Evaluate a limit by direct substitution where the function is continuous.
BC-PRQ-01008,BC-SKL-01031,supporting,inferred,Prerequisite for Recognise when substitution already settles the limit.
BC-PRQ-01008,BC-SKL-01042,supporting,inferred,Prerequisite for Identify the discontinuities of a piecewise defined function from its rule.
BC-PRQ-01008,BC-SKL-01046,supporting,inferred,Prerequisite for Determine intervals of continuity from the domain of an expression.
BC-PRQ-01008,BC-SKL-01047,supporting,inferred,Prerequisite for Name the function families continuous on their domains.
BC-PRQ-01008,BC-SKL-01065,supporting,inferred,Prerequisite for Verify the continuity hypothesis before applying the theorem.
BC-PRQ-01009,BC-SKL-01012,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the function is unbounded.
BC-PRQ-01009,BC-SKL-01041,supporting,inferred,Prerequisite for Classify a discontinuity due to a vertical asymptote.
BC-PRQ-01009,BC-SKL-01054,supporting,inferred,Prerequisite for Write an infinite limit using correct notation.
BC-PRQ-01009,BC-SKL-01055,supporting,inferred,Prerequisite for Determine one sided infinite limits by sign analysis near a zero of the denominator.
BC-PRQ-01010,BC-SKL-01032,supporting,inferred,Prerequisite for State the hypotheses of the squeeze theorem.
BC-PRQ-01010,BC-SKL-01034,supporting,inferred,Prerequisite for Conclude a limit value from matching bounds.
BC-PRQ-01010,BC-SKL-01049,supporting,inferred,Prerequisite for Distinguish continuity on an open interval from continuity on a closed interval.
BC-PRQ-01010,BC-SKL-01064,supporting,inferred,Prerequisite for State the hypotheses of the Intermediate Value Theorem.
BC-PRQ-01010,BC-SKL-01066,supporting,inferred,Prerequisite for Verify that the target value lies between the endpoint values.
BC-PRQ-01010,BC-SKL-01067,supporting,inferred,Prerequisite for State the conclusion of the theorem with the correct interval.
BC-PRQ-01010,BC-SKL-01068,supporting,inferred,Prerequisite for Apply the Intermediate Value Theorem to a function given by a table.
BC-PRQ-02001,BC-SKL-02001,supporting,inferred,Prerequisite for Compute an average rate of change from the increment difference quotient.
BC-PRQ-02001,BC-SKL-02009,supporting,inferred,Prerequisite for Evaluate a derivative from the limit definition.
BC-PRQ-02001,BC-SKL-02022,supporting,inferred,Prerequisite for Identify a corner from unequal one sided limits of the difference quotient.
BC-PRQ-02002,BC-SKL-02043,supporting,inferred,"Prerequisite for Rewrite tangent, cotangent, secant, and cosecant using sine and cosine."
BC-PRQ-02002,BC-SKL-02046,supporting,inferred,Prerequisite for Select the identity that makes a trigonometric expression differentiable by rule.
BC-PRQ-02003,BC-SKL-02012,supporting,inferred,Prerequisite for Interpret the derivative at a point as the slope of the tangent line.
BC-PRQ-02003,BC-SKL-02013,supporting,inferred,Prerequisite for Write the equation of the line tangent to a curve at a given point.
BC-PRQ-02004,BC-SKL-02010,supporting,inferred,Prerequisite for Convert among the notations for a derivative.
